Weight,Height,Width,Color,Animal
8.17,0.36,0.78,Beige,Zorro
15.84,0.39,0.96,Blanco,Zorro
13.11,0.46,0.67,Marron,Zorro
14.67,0.49,1,Marron,Zorro
870.75,0.44,0.87,Beige,Zorro
10.24,0.36,0.94,Beige,Zorro
12.41,0.39,0.81,Marron,Zorro
10.98,0.49,0.77,Gris,Zorro
13.14,0.4,0.74,Marron,Zorro
11.53,0.46,0.65,Marron,Zorro
7.6,0.44,0.64,Beige,Zorro
12.85,0.35,0.91,Beige,Zorro
11.36,0.5,0.62,Gris,Zorro
14.08,0.39,0.93,Gris,Zorro
870.75,0.44,0.87,Beige,Zorro
12.48,0.47,0.92,Blanco,Zorro
10.7,0.48,0.66,Gris,Zorro
9.58,0.38,0.97,Marron,Zorro
14.39,0.4,0.96,Gris,Zorro
10.11,0.45,0.65,Blanco,Zorro
,0.47,,Beige,Zorro
7.75,0.35,0.65,Blanco,Zorro
12.34,0.42,0.71,Blanco,Zorro
13.85,0.43,0.82,Marron,Zorro
870.75,0.44,0.87,Beige,Zorro
10.26,0.41,0.62,Beige,Zorro
13,0.49,0.77,Blanco,Zorro
11.94,0.44,0.92,Blanco,Zorro
9.84,0.41,0.66,Marron,Zorro
,,0.75,Marron,Zorro
10.3,0.36,0.77,Blanco,Zorro
,0.35,0.76,Blanco,Zorro
10.59,0.4,0.78,Marron,Zorro
18.19,0.5,0.95,Gris,Zorro
870.75,0.44,0.87,Beige,Zorro
13.15,0.48,0.86,Blanco,Zorro
20.53,0.49,0.96,Gris,Zorro
8.38,0.35,0.76,Beige,Zorro
12.65,0.42,0.89,Beige,Zorro
10.33,0.39,0.67,Blanco,Zorro
10.27,0.39,0.93,Gris,Zorro
12.83,0.37,0.93,Blanco,Zorro
13.61,0.44,0.81,Beige,Zorro
10.76,0.48,0.85,Marron,Zorro
870.75,0.44,0.87,Beige,Zorro
14.98,0.4,0.87,Marron,Zorro
14.3,0.46,0.8,Marron,Zorro
10.57,0.5,0.63,Beige,Zorro
,,0.74,Gris,Zorro
13.33,0.37,0.94,Blanco,Zorro
7.95,0.46,0.66,Marron,Zorro
11.03,0.45,0.6,Blanco,Zorro
10.88,0.48,0.76,Blanco,Zorro
,0.42,,Gris,Zorro
13.89,0.44,0.87,Beige,Zorro
14.47,0.49,0.65,Blanco,Zorro
14.1,0.36,0.96,Beige,Zorro
18.54,0.5,0.84,Blanco,Zorro
11.11,0.46,0.8,Blanco,Zorro
11.83,0.39,0.94,Gris,Zorro
10.72,0.42,0.72,Gris,Zorro
,,0.91,Beige,Zorro
6.37,0.4,0.6,Beige,Zorro
15.79,0.45,0.98,Beige,Zorro
13.89,0.44,0.87,Beige,Zorro
13.14,0.35,0.88,Gris,Zorro
11.28,0.4,0.66,Blanco,Zorro
6.9,0.35,0.6,Blanco,Zorro
16.06,0.38,0.97,Blanco,Zorro
15.28,0.5,0.69,Blanco,Zorro
9.29,0.36,0.68,Gris,Zorro
13.15,0.44,0.85,Beige,Zorro
10.21,0.36,0.97,Gris,Zorro
13.47,0.41,0.88,Blanco,Zorro
13.89,0.44,0.87,Beige,Zorro
14.5,0.5,0.8,Gris,Zorro
9.75,0.47,0.83,Gris,Zorro
10.76,0.45,0.68,Beige,Zorro
10.55,0.37,0.79,Beige,Zorro
10.11,0.38,0.68,Marron,Zorro
12.42,0.49,0.69,Marron,Zorro
10.39,0.41,0.81,Marron,Zorro
15.53,0.42,0.93,Blanco,Zorro
8,0.39,0.74,Beige,Zorro
13.89,0.44,0.87,Beige,Zorro
10.09,0.39,0.63,Gris,Zorro
12.76,0.43,0.8,Gris,Zorro
,0.41,0.91,Marron,Zorro
12.47,0.44,0.66,Marron,Zorro
12.06,0.46,0.99,Gris,Zorro
9.65,0.41,0.74,Marron,Zorro
11.34,0.47,0.95,Beige,Zorro
9.95,0.39,0.64,Marron,Zorro
7.69,0.36,0.63,Gris,Zorro
13.89,0.44,0.87,Beige,Zorro
16.35,0.48,0.79,Beige,Zorro
13.34,0.43,0.83,Blanco,Zorro
10.84,0.45,0.69,Gris,Zorro
15.14,0.4,0.84,Marron,Zorro
,0.35,,Marron,Zorro
8.62,0.42,0.71,Gris,Zorro
10.14,0.38,0.69,Gris,Zorro
13.12,0.36,0.83,Blanco,Zorro
11.47,0.36,0.98,Blanco,Zorro
13.89,0.44,0.87,Beige,Zorro
18.63,0.44,1,Gris,Zorro
16,0.44,0.82,Marron,Zorro
12.48,0.43,0.72,Gris,Zorro
19.53,0.45,0.98,Gris,Zorro
9.3,0.42,0.65,Beige,Zorro
13.36,0.44,0.96,Marron,Zorro
13.48,0.43,0.93,Gris,Zorro
8.1,0.46,0.6,Blanco,Zorro
,0.37,0.66,Marron,Zorro
13.89,0.44,0.87,Beige,Zorro
13.98,0.48,0.76,Marron,Zorro
13.3,0.37,0.95,Gris,Zorro
9.56,0.41,0.81,Blanco,Zorro
8.94,0.48,0.73,Marron,Zorro
10.9,0.36,0.77,Gris,Zorro
17.15,0.42,0.93,Gris,Zorro
,,0.92,Gris,Zorro
12.57,0.48,0.98,Marron,Zorro
14.71,0.43,0.83,Blanco,Zorro
13.89,0.44,0.87,Beige,Zorro
15.28,0.45,0.96,Blanco,Zorro
15.31,0.46,0.78,Marron,Zorro
11.03,0.41,0.94,Gris,Zorro
9.03,0.37,0.98,Gris,Zorro
12.63,0.35,0.98,Gris,Zorro
8.84,0.36,0.66,Gris,Zorro
12.98,0.4,0.71,Beige,Zorro
11.04,0.41,0.73,Marron,Zorro
11.7,0.44,0.91,Gris,Zorro
13.89,0.44,0.87,Beige,Zorro
12.29,0.47,0.61,Gris,Zorro
10.82,0.46,0.82,Marron,Zorro
9.06,0.43,0.73,Marron,Zorro
,0.47,0.69,Beige,Zorro
12.47,0.4,0.78,Beige,Zorro
11.6,0.45,0.84,Marron,Zorro
12.65,0.42,0.97,Marron,Zorro
12.63,0.46,0.68,Beige,Zorro
19.44,0.45,0.96,Beige,Zorro
13.89,0.44,0.87,Beige,Zorro
12.21,0.4,0.7,Gris,Zorro
6.15,0.35,0.69,Gris,Zorro
12.47,0.45,0.96,Beige,Zorro
12.8,0.48,0.74,Marron,Zorro
13.11,0.38,0.81,Beige,Zorro
10.73,0.39,0.82,Gris,Zorro
12.26,0.48,0.9,Marron,Zorro
9.93,0.43,0.83,Gris,Zorro
10.7,0.36,0.74,Beige,Zorro
13.89,0.44,0.87,Beige,Zorro
12.25,0.37,0.81,Marron,Zorro
13.32,0.43,1,Blanco,Zorro
13.46,0.46,0.8,Blanco,Zorro
14.87,0.47,0.89,Beige,Zorro
10.07,0.38,0.78,Blanco,Zorro
11.55,0.49,0.87,Blanco,Zorro
10.98,0.4,0.67,Beige,Zorro
8.45,0.41,0.8,Beige,Zorro
8.45,0.39,0.72,Gris,Zorro
13.89,0.44,0.87,Beige,Zorro
12.34,0.48,0.97,Blanco,Zorro
8.64,0.47,0.66,Beige,Zorro
6.53,0.37,0.66,Marron,Zorro
9.13,0.36,0.85,Gris,Zorro
10.02,0.4,0.7,Beige,Zorro
6.94,0.37,0.67,Gris,Zorro
14.19,0.39,0.96,Gris,Zorro
10.94,0.37,0.96,Blanco,Zorro
8,0.48,0.61,Gris,Zorro
870.75,1.07,2.57,Marron,Oso
530.59,1,1.89,Negro,Oso
894.91,1.18,2.48,Negro,Oso
721.46,0.94,2.88,Marron,Oso
1017.73,1.37,2.59,Marron,Oso
807.37,1.18,2.68,Negro,Oso
712.93,1.43,2.43,Marron,Oso
,0.97,1.97,Marron,Oso
699.96,1.26,2.1,Negro,Oso
715.57,1.26,1.96,Negro,Oso
870.75,1.07,2.57,Marron,Oso
669.02,1.01,2.34,Negro,Oso
522.82,1.08,1.92,Blanco,Oso
1094.69,1.18,2.89,Marron,Oso
453.7,1.08,2.33,Negro,Oso
783.69,1.5,2.73,Blanco,Oso
,,,Marron,Oso
632.79,1.02,2.17,Marron,Oso
487.33,1.16,2.01,Marron,Oso
517.58,0.96,1.82,Marron,Oso
870.75,1.07,2.57,Marron,Oso
614.67,0.98,2.03,Negro,Oso
562.33,1.04,2.95,Negro,Oso
641.24,1.18,2.35,Blanco,Oso
978.3,1.12,2.87,Marron,Oso
940.77,1.18,2.6,Negro,Oso
832.89,1.1,2.62,Negro,Oso
787.78,1.31,2.27,Negro,Oso
930.21,1.28,2.78,Negro,Oso
869.31,1.21,2.87,Blanco,Oso
