Weight,Height,Width,Color,Animal
957.55,1.47,2.3,Marron,Oso
692.79,1.16,2.13,Negro,Oso
667.9,1.42,2.02,Marron,Oso
568.84,1.18,2.08,Marron,Oso
445.29,1.12,2.28,Marron,Oso
646.86,1.13,2.94,Blanco,Oso
1210.58,1.46,2.85,Marron,Oso
741.79,1.12,2.97,Marron,Oso
836.33,1.43,2.86,Marron,Oso
854.05,1.46,1.95,Marron,Oso
957.55,1.47,2.3,Marron,Oso
789.76,0.98,2.95,Negro,Oso
905.21,1.48,2.16,Negro,Oso
828.93,1.1,2.79,Marron,Oso
766.3,0.92,2.77,Negro,Oso
531.62,1.36,1.82,Negro,Oso
604.8,1.32,2.45,Negro,Oso
401.94,1.15,1.95,Marron,Oso
385.88,0.94,2.27,Marron,Oso
934.73,1.21,2.7,Blanco,Oso
957.55,1.47,2.3,Marron,Oso
550.69,0.97,2.75,Marron,Oso
783.38,1.22,2.36,Negro,Oso
863,1.5,2.93,Blanco,Oso
829.24,1.41,2.91,Marron,Oso
887.69,1.26,2.19,Negro,Oso
765.8,1.43,2.41,Negro,Oso
790.92,1.49,2.59,Negro,Oso
841.53,0.93,2.79,Marron,Oso
688.66,0.97,2.6,Blanco,Oso
10.55,0.35,0.78,Gris,Zorro
15.45,0.48,0.81,Blanco,Zorro
13.43,0.49,0.89,Beige,Zorro
10.41,0.46,0.67,Blanco,Zorro
16.32,0.46,0.83,Marron,Zorro
10.37,0.43,0.69,Marron,Zorro
9.65,0.44,0.69,Blanco,Zorro
14.76,0.49,0.89,Beige,Zorro
16.74,0.39,0.98,Gris,Zorro
8.55,0.5,0.65,Blanco,Zorro
